city,state,engineers,"other management occupations, except farmers and farm managers","other sales and related occupations, including supervisors","information and record clerks, except customer service representatives","material recording, scheduling, dispatching, and distributing workers","other office and administrative support workers, including supervisors","preschool, kindergarten, elementary, and middle school teachers","supervisors, construction and extraction workers",construction laborers,computer specialists,"counselors, social workers, and other community and social service specialists",cashiers,"other production occupations, including supervisors",assemblers and fabricators,building and grounds cleaning and maintenance occupations,"law enforcement workers, including supervisors","laborers and material movers, hand",driver/sales workers and truck drivers,"electrical equipment mechanics and other installation, maintenance, and repair workers, including supervisors",registered nurses,"nursing, psychiatric, and home health aides",cooks and food preparation workers,carpenters,"retail sales workers, except cashiers",customer service representatives,health technologists and technicians,"sales representatives, services, wholesale and manufacturing",top executives,secretaries and administrative assistants,waiters and waitresses,"vehicle and mobile equipment mechanics, installers, and repairers","other food preparation and serving workers, including supervisors","bookkeeping, accounting, and auditing clerks",farmers and farm managers,"agricultural workers, including supervisors",child care workers,"other teachers, instructors, education, training, and library occupations",postsecondary teachers,"other material moving workers, except laborers",metal workers and plastic workers,"operations specialties managers, except financial managers","entertainers and performers, sports, and related workers",media and communications workers,other healthcare support occupations,extraction workers,"construction traders workers except carpenters, electricians, painters, plumbers, and construction laborers",personal appearance workers,"financial clerks, except bookkeeping, accounting and auditing clerks",lawyers,physicians and surgeons,painters and paperhangers,accountants and auditors,"teachers, secondary school",rail and water transportation workers,"advertising, marketing, promotions, public relations, and sales managers",life and physical scientists,food processing workers,"supervisors and other personal care and service workers, except child care workers","other protective service workers, including supervisors","textile, apparel, and furnishings workers",social scientists and related workers,other transportation occupations,therapists,other financial specialists,"life, physical, and social science technicians",mathematical science occupations,woodworkers,art and design workers,"pipelayers, plumbers, pipefitters, and steamfitters",bus drivers,"transportation, tourism, and lodging attendants","food and beverage serving workers, except waiters and waitresses","fishing, hunting, and forestry occupations",religious workers,"motor vehicle operators, except bus and truck drivers",printing workers,"drafters, engineering, and mapping technicians",other health diagnosing and treating practitioners and technical occupations,electricians,"supervisors, transportation, and material moving workers","judges, magistrates, and other judicial workers",legal support workers,other construction workers and helpers,financial managers,occupational and physical therapist assistants and aides,plant and system operators,communications equipment operators,"teachers, special education"
Springfield,Oregon,,,4.6,5.1,,7.9,,,,,,4.0,6.7,,4.5,,5.1,6.3,4.9,,,,,4.5,,,,,4.6,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eau-Claire,Wisconsin,,4.4,,3.5,3.0,,,,,5.7,,4.6,4.2,,3.5,,3.8,4.9,,5.3,5.9,3.0,,3.8,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocatello,Idaho,,4.3,4.9,4.8,,5.1,4.8,,,,,,3.6,,3.9,,,,4.0,,,,,4.2,,,,,6.8,,3.5,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-Branch,New-Jersey,,4.3,3.2,,3.6,5.0,4.0,,,3.3,3.4,4.2,,,7.6,,,3.3,,,,,4.8,5.0,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absecon,New-Jersey,,5.2,4.4,,,7.4,6.6,,,,,6.5,,,,4.0,,,6.0,5.4,,,4.3,4.7,,,,,,4.8,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartlett,Illinois,4.3,5.4,4.1,,,7.1,,,,4.1,,,,,,,,,4.2,4.4,,,,,,,6.5,5.0,7.8,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La-Habra,California,,3.5,4.0,5.2,4.2,7.4,4.5,,,,,3.4,5.3,,6.3,,,4.4,,,,,,,,,3.8,,4.9,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucumcari,New-Mexico,,8.2,5.6,6.5,5.6,,7.8,,,,,6.1,,,5.0,,,10.2,4.4,,,6.3,,,,,,,,5.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,New-Mexico,,,4.6,,,5.6,9.0,,5.6,,,5.6,,,,,,10.8,4.6,,,7.3,,,,,,,10.1,6.2,7.7,,,7.7,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,
Belleville,Illinois,,,3.9,,4.2,6.9,3.8,,,,,3.5,5.2,,4.4,,4.5,4.1,,4.7,3.6,,,3.0,,,,,8.7,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallahassee,Florida,,5.8,,2.9,,,,,2.4,5.5,4.2,,,,3.7,,4.0,,,,3.8,4.1,,,,,,,,,,,,,,,3.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Luis,Arizona,,,3.7,5.2,,,,,4.2,,,9.8,4.8,,4.2,,4.9,7.1,3.8,,,,,,,,,,,,,,,,19.2,4.1,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloxi,Mississippi,,4.7,4.2,,,4.6,5.1,,,,,6.0,,,5.0,,,3.4,5.6,,,,,4.8,,,3.2,,4.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truth-or-Consequences,New-Mexico,,4.4,3.8,5.4,,,,,,,,,,,4.5,,4.8,,4.7,,5.0,3.2,,3.4,,,,,4.7,4.8,4.9,7.2,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,
Oak-Grove,Missouri,,,,,4.2,12.1,4.3,,,,,,4.7,,,,4.0,5.8,6.3,6.3,,,,,,,5.2,,4.4,4.6,5.9,,5.7,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowie,Maryland,2.7,13.3,,2.5,,,,,,6.1,2.8,1.8,,,,2.9,,3.7,2.5,3.2,,,,,,,,,4.6,,,,,,,,2.5,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamford,Texas,,,4.8,,,3.4,,5.1,,,,,,,8.1,,,4.9,,,13.3,,,,,9.1,,,4.8,,,,,5.8,7.1,,5.6,,,,,,,,,3.7,,5.7,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennett,Missouri,,,,,,7.0,6.5,,,,3.7,5.8,9.1,5.8,3.5,,,8.0,4.1,,,,,4.5,,,,,7.6,,5.0,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson,Nevada,,5.5,,,,,,,,,,2.8,,,4.7,2.4,3.4,,3.1,3.7,,,,,3.5,,,4.3,3.1,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,Illinois,,,,,,8.9,,,,4.2,,,3.7,4.5,3.8,,4.0,10.1,4.7,,,,,,,4.2,,,9.3,,8.3,,6.5,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham,New-Hampshire,4.1,,,3.9,,6.0,,,,5.6,,5.8,,,,,,,,,,,,5.3,,,,,,10.8,,,,,,,5.6,5.7,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Texarkana,Texas,,4.2,7.2,,,,6.1,,,,,5.7,7.8,,4.9,,4.5,4.9,4.1,4.4,,,,5.4,,,4.2,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean-City,Maryland,,7.8,12.8,,,6.4,,,,,,,,,4.7,,,,,,,4.5,,3.9,,,4.0,,,7.1,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,
Amherst,Ohio,3.7,4.0,,6.0,,6.0,6.2,,,,,,5.9,5.1,,,,,4.1,4.7,,,,3.8,,4.6,,4.6,8.2,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collinsville,Illinois,,5.2,4.9,4.4,4.6,8.7,4.8,,,4.0,,,4.6,,,,4.2,5.7,3.6,4.0,,,,3.9,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centerville,Georgia,,7.5,,,4.4,9.4,,,,6.7,,,4.0,,4.2,,,5.4,5.2,4.4,,,,,,,,,8.4,,5.8,,4.1,,,,,,,,3.8,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock-Hill,South-Carolina,,4.4,4.2,,4.5,4.4,6.0,,,,,4.9,4.6,,3.0,,3.8,4.0,4.4,,,,,,3.4,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdese,North-Carolina,,4.1,,,,4.9,7.8,,,,,,8.9,,3.2,4.9,5.3,,4.9,5.6,3.5,,,,,,,,4.4,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titusville,Florida,6.3,4.9,4.5,3.6,3.5,6.7,4.6,,,,,4.6,3.9,,4.0,,,3.5,4.7,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,Ohio,,6.4,,,,3.5,,,,6.4,,,,,3.2,,3.0,3.6,2.7,4.6,4.0,,,3.1,4.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Bernardino,California,,3.7,,,,4.1,,,4.5,,,4.7,3.3,,4.2,,6.0,8.1,,,9.0,3.2,,2.8,,4.2,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacoma,Washington,,6.3,,3.0,,,,,,3.4,4.2,,,,2.9,,7.2,4.0,4.0,4.2,6.4,,,2.9,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton,Massachusetts,3.0,4.3,3.9,,6.7,5.3,6.4,,,,,,9.1,,3.8,,,,4.8,4.7,4.3,,,4.2,,4.3,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskogee,Oklahoma,,3.9,4.4,,,6.8,6.7,,,,,5.1,5.8,,3.8,,,6.7,5.0,,4.9,,,3.3,,3.4,,,4.4,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chadron,Nebraska,,5.0,8.1,4.8,,6.8,,,,,,6.6,,,4.5,,,,,,5.1,4.0,,4.1,,,,,4.4,,5.7,,,,6.5,4.6,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlsbad,New-Mexico,,,5.0,,,4.3,6.9,,,,,4.8,,,5.0,,3.8,6.6,7.1,,4.5,,,3.5,,,,,6.8,3.7,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland,Oregon,,5.3,4.2,,,4.1,5.5,,,3.8,,,,,5.6,,,,,4.5,,2.9,,,,,,4.2,,3.6,,,,,,,4.2,3.1,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Illinois,,4.9,,,,2.8,,,,7.6,,,3.9,,3.7,,5.6,3.8,,2.8,,2.3,,,3.5,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic-City,New-Jersey,,,,3.2,,4.9,,,,,,8.9,,,11.8,,,,,,3.3,9.1,,,,,,,,3.2,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisburg,Illinois,,,,,4.2,6.2,,,,,4.6,5.9,,,8.7,4.0,3.9,7.1,7.0,4.4,6.3,,,,,,,,4.5,,4.4,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prescott-Valley,Arizona,,5.3,6.8,5.0,,6.1,,,,,,4.5,4.6,,3.5,,,4.3,,,,,,3.2,,,,,5.1,,4.1,,4.2,,,3.8,,,,4.1,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,California,,3.7,,,,4.1,,,3.7,,,4.9,3.6,,4.6,,3.5,3.8,3.2,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,Georgia,,5.3,6.7,5.1,3.9,8.5,,,5.1,,,,9.8,,5.3,,,8.9,4.4,,,,5.6,3.9,,,,,,,,,6.7,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Michigan,,,4.3,3.7,4.1,5.7,,,,,,4.2,6.7,,,,5.0,4.3,5.1,,,,,3.5,3.4,,,,6.2,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youngstown,Ohio,,,3.8,,4.0,5.9,,,,,,4.3,3.7,,4.6,,7.3,6.2,3.7,,7.1,,,,,,,,4.7,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Texas,,,,,,4.4,7.7,,,,,,6.3,,6.4,,7.9,5.5,,,7.3,7.7,,4.3,,5.0,,,,,5.3,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,
Wildwood,New-Jersey,,4.0,3.8,,4.4,,,,,,,14.6,,,7.5,,,5.1,,,5.6,4.9,6.6,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attleboro,Massachusetts,4.2,,3.4,,4.1,7.3,4.6,,,3.6,,,5.4,,,,,5.0,,3.8,,,,,,,,,6.3,,,,3.1,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swansboro,North-Carolina,,3.3,7.1,4.4,5.3,,6.8,5.3,,,,,,,3.0,,,4.1,6.9,5.0,,,4.1,8.9,,4.4,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longview,Texas,,4.7,4.6,,,5.3,6.4,,,,,4.1,5.7,,4.4,,,4.7,4.8,,3.6,,,4.3,,,3.2,,5.5,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta,Maine,,,3.6,5.9,,7.1,3.7,,,3.8,,,4.5,,5.1,,,5.2,,,3.5,,,4.4,,,,,7.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las-Cruces,New-Mexico,,4.8,4.1,5.7,,6.3,6.4,,,,,3.5,,,4.4,,,3.8,3.4,,,,,3.6,,,,,5.6,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvine,California,6.9,7.6,,2.8,,,,,,3.8,,,,,,,,,,3.7,,,,,,,2.6,4.8,3.3,,,,,,,,,3.7,,,,,,,,,,,3.1,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerdale,New-Jersey,,3.5,,5.3,6.0,8.0,6.6,,,3.4,5.4,,,,,,,5.7,9.5,,,,,,,,,,7.6,,,,4.6,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin-Rapids,Wisconsin,,2.9,,5.8,3.4,5.2,5.2,,,,,4.2,5.2,,,,5.8,6.6,6.0,,4.5,,,3.2,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,Montana,,4.2,4.7,4.6,,4.3,4.0,,,,,4.1,,,4.0,,,6.6,4.0,,,,,4.0,,,,,6.7,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake-Orion,Michigan,7.0,4.1,,,,5.2,11.9,,,,,4.1,4.1,,4.0,,,6.3,,,,,,,,,4.6,,,8.5,,,3.7,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Bedford,Massachusetts,,5.0,,4.1,,,4.3,,3.9,,5.4,3.2,2.4,,6.8,,8.8,3.4,,,12.1,,3.5,,,,,,3.6,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Plainfield,New-Jersey,,4.1,3.9,,4.3,6.9,6.4,,,4.9,,,3.3,,,,,5.3,6.3,4.8,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron,Ohio,,5.6,,,,,,,,,,5.8,4.5,,3.7,,8.2,5.6,,4.2,5.9,4.1,,,,,,,3.8,3.5,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Berlin,Illinois,4.0,5.5,,,,10.9,,,,,,4.7,,,2.9,4.8,,,5.1,4.4,,,,5.1,,,,,6.9,,,,5.5,,,,,,,,,,,,,3.7,,5.1,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,
Tye,Texas,,,6.2,5.4,,,,3.6,,,,10.7,,,5.8,3.6,,8.1,8.1,,7.0,,,4.1,,5.0,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattanooga,Tennessee,,3.9,,,,4.9,,,,3.8,,,3.3,,4.0,,4.2,3.3,,5.4,4.2,3.2,,,,,,,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medford,Oregon,,5.5,5.5,4.8,,5.6,4.1,,,,,3.7,5.3,,5.5,,,,4.2,,,,,4.2,,,3.6,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa-City,Iowa,,5.2,,,,,,,,5.1,,3.4,,,3.3,,5.0,,,,5.1,3.4,,,,,,,,5.1,,,,,,,4.7,7.3,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port-Angeles,Washington,,4.1,4.4,6.4,,4.1,4.6,,,,,4.2,,,4.4,,3.9,6.6,5.2,5.3,,,,3.9,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederick,Maryland,,8.9,,,,,,,,7.3,,3.2,,,5.3,,2.9,,,,,3.0,,3.2,,,,,3.4,3.6,,,,,,,,,,,2.8,,,,,,,,,,,,,,,4.2,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,Massachusetts,,6.5,,,,3.3,,,,,7.0,3.4,,,6.4,,6.6,6.4,,,15.5,6.2,,,,3.6,,,,,,,,,,,3.8,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-Bank,New-Jersey,,5.0,3.4,4.0,,4.9,4.1,,,3.9,,,,,4.1,,,,,4.0,,4.0,,,,,4.6,3.8,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy,Illinois,,3.9,5.3,3.6,,4.6,4.7,,,,,3.7,6.7,,4.2,,4.0,5.5,,,,,,3.5,,4.0,,,6.5,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glassboro,New-Jersey,,4.3,5.4,,3.1,6.3,5.1,,,,,,3.6,,,,3.5,4.9,6.0,3.9,,,,4.0,,,,,6.3,5.6,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterville,Maine,,3.7,4.9,6.6,4.4,8.4,5.0,,,3.9,,,,,4.9,,,3.7,3.8,,4.9,2.8,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison,Arkansas,,7.2,5.4,4.7,,7.1,5.7,,,,,3.6,8.1,,,,,4.6,5.4,,,,,4.8,,,,,6.2,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulfport,Mississippi,,4.7,4.6,3.7,,4.7,4.9,,,,,6.7,,,4.9,,,5.0,5.2,3.9,,,,3.7,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergenfield,New-Jersey,,3.1,3.7,,4.3,6.9,4.9,,,4.7,,,,,4.3,,,4.5,4.4,10.2,,,,,3.6,,,,9.3,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicopee,Massachusetts,,,3.3,4.0,4.7,6.6,3.6,,,,,5.3,5.0,,4.1,,3.9,5.8,6.6,,,,,,,,,,5.4,3.7,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaston,North-Carolina,,9.7,7.6,,,,,,,,,,4.7,,3.9,,4.4,5.8,6.8,,4.7,,6.3,,,5.7,,,7.6,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Charleston,West-Virginia,3.8,5.2,3.9,,,9.4,6.8,,,,,,4.0,,,,,,3.8,4.7,,,,4.7,,3.9,5.3,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson-City,Nevada,,5.3,4.5,4.3,2.7,8.9,4.1,,,,,4.4,4.4,,5.4,,,3.6,3.2,,,,,,,,,,4.4,,,,3.9,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council-Bluffs,Iowa,,5.3,,4.5,,4.5,,,3.4,,,5.4,,,4.7,,7.5,5.6,4.1,3.8,4.3,,,,3.4,4.5,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throop,Pennsylvania,,,4.2,6.7,5.6,6.0,4.1,,,,,8.1,6.6,,4.8,,7.9,7.3,5.7,,6.5,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton,Virginia,,5.5,,,,,,,,3.9,,3.8,,,3.8,,4.7,,5.0,3.0,4.6,,,,4.3,3.7,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La-Grande,Oregon,,4.3,4.5,6.1,,,5.4,,,,,,6.8,3.4,5.2,,,3.4,3.7,,,,,,,,,,5.7,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madras,Oregon,,,,7.3,,4.4,6.1,,,,,4.6,8.5,5.5,9.6,,4.9,,,,,,,,,,,,,,,,,,6.2,,5.2,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,
Waterbury,Connecticut,,4.2,,,,,,,,,3.3,5.7,3.8,,6.9,,8.8,5.4,4.4,,11.3,,2.9,,,3.5,,,,,,,,,,,3.3,,,3.7,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,Maine,,6.9,,,2.5,,,,,2.6,6.0,,,,2.5,,2.5,,,5.8,3.5,4.3,,3.2,,4.0,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson-City,Tennessee,,5.2,6.1,4.6,3.1,3.9,4.2,,,,,3.5,4.5,,3.3,,,3.1,,,,,,4.0,,,3.4,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easthampton,Massachusetts,,3.9,4.0,,,6.4,4.2,,,,4.0,,6.2,,5.6,,,5.4,5.1,5.4,3.4,,,,,,,,6.3,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,Delaware,,4.5,,,,,5.6,,,,,8.3,13.2,,4.3,3.3,4.9,,3.3,,,,,,,4.7,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clovis,New-Mexico,,3.7,4.5,4.7,,4.3,7.4,,,,,4.8,,,4.8,,,5.3,5.2,,,,,4.9,,,,,5.2,3.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark,California,4.2,3.8,4.4,,3.7,6.7,3.9,,,6.4,,,3.8,,,,,4.9,5.3,3.8,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honolulu,Hawaii,,4.1,4.2,4.9,,7.1,,,,,,,,,4.5,,,,3.5,,,3.6,,6.0,,,,3.0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinth,Mississippi,,6.0,3.5,,,4.9,6.5,,,,,5.4,6.3,4.1,,,4.2,4.2,,,3.3,,3.6,,,,,,5.1,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
