city,state,Charges - Sewerage,Other,Parks and Recreation,Federal Intergovernmental - Other,Housing and Community Development,Miscellaneous - Fines and Forfeits,General Revenue - Other,Rents,Interest Earnings,Revenue - Water Utilities,State Intergovernmental - Water Utilities,Sewerage,Highways,General Local Government Support,Tax - General Sales and Gross Receipts,Property,Other Selective Sales,Public Utilities Sales,Occupation and Business License - Other,Other License,Documentary and Stock Transfer,Charges - Other,Federal Intergovernmental - Housing and Community Development,Local Intergovernmental - General Local Government Support,Miscellaneous - General Revenue - Other,Fines and Forfeits,Donations From Private Sources,State Intergovernmental - General Local Government Support,Transit Utilities,Education,Tax - Property,Sea and Inland Port Facilities,Regular Highways,Solid Waste Management,Miscellaneous Commercial Activities,Local Intergovernmental - Other,Special Assessments,Sale of Property,Revenue - Transit Utilities,State Intergovernmental - Other,Public Welfare,General Sales and Gross Receipts,Air Transportation,Parking Facilities,Federal Intergovernmental - Air Transportation,Health and Hospitals,Natural Resources,State Intergovernmental - Highways,Water Utilities,Individual Income,Corporation Net Income,Pari - mutuels Sales,Motor Vehicle License,Tobacco Products Sales,Amusements Sales,Public Utility License,Alcoholic Beverage License,Charges - Parks and Recreation,Elementary and Secondary Education - Other,Elementary and Secondary Education School Lunch,Local Intergovernmental - Education,Miscellaneous - Donations From Private Sources,Revenue - Electric Utilities,State Intergovernmental - Education,Alcoholic Beverage Sales,Miscellaneous - Interest Earnings,Gas Utilities,Charges - Solid Waste Management,Natural Resources - Other,Miscellaneous - Special Assessments,Miscellaneous - Rents,Charges - Air Transportation,Electric Utilities,Local Intergovernmental - Electric Utilities,Royalties,Charges - Miscellaneous Commercial Activities,Federal Intergovernmental - Transit Utilities,Local Intergovernmental - Housing and Community Development,Insurance Premiums Sales,Local Intergovernmental - Highways,Local Intergovernmental - Transit Utilities,State Intergovernmental - Transit Utilities,Federal Intergovernmental - General Local Government Support,Motor Fuels Sales,Local Intergovernmental - Water Utilities,Charges - Parking Facilities,Tax - Documentary and Stock Transfer,Federal Intergovernmental - Highways,State Intergovernmental - Sewerage,Amusements License,Hospital Public,Tax - Individual Income,Death and Gift,Elementary and Secondary Education School Tuition and Transportation,Revenue - Gas Utilities,Federal Intergovernmental - Health and Hospitals,Tax - Public Utilities Sales,Federal Intergovernmental - Public Welfare,Toll Highways,Charges - Housing and Community Development,Miscellaneous - Sale of Property,State Intergovernmental - Public Welfare,Charges - Hospital Public,Local Intergovernmental - Health and Hospitals,Employee Retirement - From Local Government,Local Employee Contribution,Interest Revenue,From Other Government,Property Sale Other,General Support,Public Utilities,Federal Intergovernmental - Water Utilities,Local Intergovernmental - Public Welfare,Federal Intergovernmental - Education,Tax - Other Selective Sales,Liquor Stores,Local Intergovernmental - Sewerage,Tax - Occupation and Business License - Other,Federal Intergovernmental - Natural Resources,Total General Sales,Federal Intergovernmental - Sewerage,Tax - Other,State Intergovernmental - Housing and Community Development,Revenue - Liquor Stores,Charges - Regular Highways,State Intergovernmental - Health and Hospitals,Corporation License,State Intergovernmental - Electric Utilities,Charges - Elementary and Secondary Education School Lunch,Motor Vehicle Operators License,Charges - Natural Resources - Other,Tax - Other License,Tax - Amusements Sales,Higher Education - Other,Higher Education Auxiliary Enterprises,Employee Retirement - Earnings on Investments (calculated),From Parent Local Government,Tax - Insurance Premiums Sales,Charges - Sea and Inland Port Facilities,Severance
Durham,North-Carolina,236.00,6.54,17.03,,7.09,,5.91,2.12,11.08,182.24,,,29.00,,,,14.22,,13.77,0.68,,,,11.33,,0.22,0.58,92.84,26.49,,602.27,,,27.71,35.58,,,1.58,,,,165.36,,17.69,,,,,0.47,,,,11.08,,,,,,,,,,,,,,,,,29.28,,,,,,,53.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las-Vegas,New-Mexico,,81.59,16.41,,39.94,,,0.39,1.32,,,232.45,,,791.24,119.75,14.94,,3.10,4.03,,,30.81,,11.30,1.78,,28.25,9.52,,,,,,,,,,,,,,18.04,,,,,,7.04,,,,6.12,,,,0.70,,,,,,,,,,,269.14,,,,,,,,,,,,,,,,,,,,,,,,,,,391.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key-West,Florida,477.73,78.53,279.04,199.93,22.56,,,257.82,21.85,91.09,,,1.87,,,,,,138.03,129.28,,,,59.37,477.61,31.22,7.05,254.08,58.67,,640.93,144.91,,385.23,2.99,,15.09,,,,,358.45,,306.74,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,,66.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corpus-Christi,Texas,229.25,0.62,33.45,,10.82,,,0.73,18.46,427.39,,1.56,8.54,4.26,,,56.67,53.79,2.09,20.32,,,,,44.14,19.51,,,,,353.44,,35.11,118.84,,,0.26,10.25,,,3.69,245.08,32.44,1.00,39.43,0.49,,,0.06,,,,,,1.20,,0.43,,,,,,,,,,86.93,,,,,,,,18.35,,,,,8.72,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.27,,,,,,,,,,,,,,
El-Dorado,Arkansas,195.23,14.45,12.97,,,,,,2.55,307.52,,,,18.53,328.31,108.27,23.11,90.53,5.55,2.38,,,,470.91,24.76,20.40,,,,,,,5.67,39.54,,,20.91,,,,,,67.59,,24.53,,,70.59,,,,,,,,,3.74,,,,,,,,,,,,,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer,Iowa,,86.19,38.99,,,,,10.96,98.70,,,256.12,,22.55,,,28.40,20.36,,7.40,,,42.46,,235.12,5.02,46.29,,,,647.37,,,365.69,584.00,31.04,30.50,31.96,,,,175.49,10.41,,,1.19,,138.97,288.08,,,,,,,,,,,,,,1372.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8424.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twentynine-Palms,California,,2.19,,,0.73,,,3.72,4.68,,,,19.29,0.69,,,42.61,28.61,1.57,6.48,1.15,,,,32.49,1.07,0.04,,,,182.76,,2.72,,,,3.68,0.27,,24.85,,86.41,,,,,,,,,,,,,,,,8.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felton,Delaware,,11.32,,,,,31.82,,0.71,149.22,,,,,,,,,,,,,,,,77.79,,,,,252.48,,,,,,,,,,,,,,,,,21.22,19.80,,,,,,,,,,,,,,,,,,,62.23,,,99.72,,,,16.27,,,,,,,,,,,,,21.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita-Falls,Texas,,2.74,22.40,,,,,4.36,15.99,377.52,,35.71,2.14,2.69,,,17.94,56.43,9.70,1.44,,,50.38,,36.14,27.16,5.49,,4.94,,335.50,,,,,,,0.76,,,,214.10,29.11,,,,,,,,,,,,,,,,,,,,,,,,,127.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.91,,,,,,,,,,,,,,
West-Chicago,Illinois,224.60,122.17,,,,,,,0.37,163.93,,,26.70,,,,29.42,104.49,,33.64,,,,,84.73,31.73,,292.62,,,166.24,,,,,0.56,,,,,,,,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey-Shore,Pennsylvania,,28.99,,,12.81,,7.25,,3.38,,,,,0.72,,,,,22.23,,7.97,,,11.84,,1.93,1.21,,,,253.93,,,,,,,,,,,,,,,,,32.13,,91.08,,,,,,13.53,,11.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corbin,Kentucky,228.69,25.27,187.03,9.30,,,0.14,,2.92,,,28.88,16.25,21.38,,185.37,198.28,,34.43,2.08,,,,,,2.50,,,,,,,,218.97,,135.24,,1.39,,32.49,,,,,,,,,366.84,,,,,,,,74.01,,,,,,986.53,,,,,,,,28.33,,,,,,,,232.57,,,,,,,,,,,,,331.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennewick,Washington,,,8.50,6.85,2.50,,5.44,,0.00,115.71,,113.91,24.73,13.43,265.12,149.45,13.95,154.56,5.36,28.48,33.99,135.04,,,,8.90,1.58,,,,,,0.06,,,2.82,19.92,2.50,,58.20,,,,,,0.01,0.46,,,,,,,,11.75,,,,,,,,,,,,,,,,38.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallejo,California,239.36,119.19,21.08,198.42,12.29,,,11.94,15.08,233.96,,0.03,20.10,1.60,,,20.40,148.05,31.35,155.28,21.79,,,,83.26,9.84,1.77,,,,247.57,10.90,,11.58,,1.28,27.92,0.90,,41.64,,117.84,,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenatchee,Washington,210.97,0.09,3.00,,1.72,,6.64,3.06,0.00,186.44,,,38.24,13.10,383.93,103.75,50.49,195.17,8.12,22.93,37.22,,6.49,,,28.67,15.77,,,,,,10.16,0.96,4.54,50.03,3.23,,,92.29,,,,,,,,,,,,,18.07,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachse,Texas,94.22,1.31,2.80,,,11.36,5.38,0.69,2.19,151.85,,,,0.12,849.96,396.18,,70.87,0.50,34.13,,,,,,,1.61,,,,,,,,,,,0.15,,1.00,,,,,,0.27,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,6.87,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union-City,Tennessee,,15.21,,11.04,,58.01,26.25,28.67,16.17,,,153.51,32.45,124.55,,,56.08,37.48,,7.46,,,,558.93,,,19.18,,,509.25,818.69,,,,0.87,,,11.14,,,,,,,,,,,279.23,,,,20.82,,,,0.68,,60.05,19.66,,,2497.24,1033.70,43.78,,,190.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crockett,Texas,,10.34,3.92,,43.70,19.42,15.04,,0.31,280.66,,155.21,,0.94,258.10,223.81,23.49,90.99,,,,,,23.18,,,,,,,,,,,,,,,,140.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coldwater,Michigan,377.40,80.80,20.79,39.05,,,,45.44,33.48,,,,,83.42,,,0.25,,21.20,,,,,,430.05,5.57,0.08,,,,398.12,,,37.82,284.65,15.15,4.50,68.28,,,,,,,,,,110.19,275.40,,,,,,,,,,,,,,3342.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Palm-Beach,Florida,270.81,10.25,34.32,66.97,3.48,32.54,25.89,8.16,20.80,622.30,,,9.50,26.47,,,47.77,141.34,161.82,81.83,,,,,,,1.81,156.21,,,821.08,,1.71,130.14,0.35,153.25,,12.14,,,,,,51.38,,,,,0.35,,,,,,,,,,,,,,,,,,,,121.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moses-Lake,Washington,219.13,12.46,41.14,0.66,,,6.14,,0.00,246.04,,,,14.45,,,29.15,158.39,6.27,23.13,30.39,,,,,16.81,3.94,,,,282.07,,1.62,167.90,,,31.35,0.91,,,,281.53,,,,0.42,,44.22,,,,,2.12,,15.20,,,,,,,,,,,,,,,,35.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallulah,Louisiana,119.11,,2.25,,85.51,,,2.55,0.15,290.73,,8.40,0.60,,199.97,80.41,,49.50,,14.85,,,61.51,,24.60,13.35,,,,,,,,,,,,,,22.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary,Indiana,626.24,0.95,17.12,,0.15,25.84,1.23,2.24,0.57,,,35.83,,37.99,,,,,1.91,14.78,,,,,,,0.45,,13.84,,480.67,,,6.82,,,,,10.19,,,,,0.96,,,,40.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.25,,,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eatonton,Georgia,,1.64,2.08,0.15,,,,,2.23,,,,,2.23,,,1.49,59.03,7.58,,,,,142.45,43.12,30.33,,,,,163.27,,,,,,,1.64,,44.61,,,,,,,,,,,,,,,,,2.38,,,,,,,,30.04,,,31.67,,,,,,,,,,,55.61,,,,,,,,,,,,,,,,195.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratford,Texas,,,,10.21,,,,1.46,4.86,,,,1.94,9.72,,,36.95,,,,,161.89,,,55.91,24.79,0.49,,,,964.03,,3.89,,,18.47,,0.49,,63.68,,307.24,,,,,,,,,,,60.77,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fargo,North-Dakota,,13.93,48.07,42.52,7.99,,41.83,,86.03,190.16,,99.55,62.97,,382.26,226.88,18.34,40.98,,37.12,,142.45,,,,17.58,,143.36,21.18,,,,15.06,119.56,,,,,,,,,68.85,13.36,,,,,,,,,,,,,,,,,,,,,,,,,13.83,305.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson,North-Dakota,221.29,16.30,,,,,,,19.37,255.95,,,,,363.77,286.60,55.29,,,26.33,,,,,90.69,,11.37,146.98,,,,,,166.34,1.73,,68.43,,,,,,,,,,,,15.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boone,North-Carolina,188.74,19.42,,,,,,5.19,0.00,,,,22.73,,,,27.41,,8.44,0.76,,,,2.49,73.07,,0.15,66.05,,,362.84,,,,,,,,,,,163.17,,48.00,,,,,196.67,,,,2.34,,,,,,,,,,,,25.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.42,,,,,,,,,,,,,,,,
Eden,Texas,180.06,,153.01,,,,,6.18,1.55,634.47,,,,,,,8.50,218.70,,,,,,,40.96,6.96,,,,,321.48,,,159.97,1.55,,,,,15.46,,99.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,Missouri,198.43,4.95,37.34,,10.24,,,,,,,,18.75,,385.94,65.40,37.71,50.98,6.85,10.14,,,,,52.95,12.70,,,0.37,,,,,176.57,,,,,,,,,7.81,36.08,64.19,9.98,,28.24,205.32,,,,,4.18,,,1.44,,,,,,1021.43,,,,,,,,,,,96.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convoy,Ohio,135.03,,,,,,,,,109.54,,,,,,66.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.16,,,,1.89,,,,,,,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,152.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-San-Francisco,California,411.31,46.76,62.97,12.05,7.08,,24.71,,6.67,,,,18.97,1.58,,,253.94,60.33,22.92,76.47,8.44,,,,,13.26,3.78,,,,458.16,,,2.80,,1.27,25.56,14.99,,32.78,,379.88,,13.53,,,,,,,,,,,,,,,,,,,,,,,,,,,40.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-Bay,Wisconsin,223.37,2.02,35.93,17.89,14.92,,,14.92,0.00,347.60,,0.83,44.76,,,,3.94,,11.99,9.91,,,,,36.40,19.61,11.69,185.84,15.41,18.02,544.25,,61.32,0.82,,80.54,5.28,34.03,,,,0.01,,16.11,,,,,0.78,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockwall,Texas,126.37,,1.05,,,29.59,,,2.46,303.24,,,,,,,,91.27,,29.68,,,,,,,9.76,5.16,,,474.98,,,,0.07,,,,,,,459.77,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockton,California,,,7.50,33.93,8.39,,,24.31,0.81,171.40,,243.83,27.31,1.16,384.64,186.48,10.21,155.61,43.20,24.84,3.60,259.93,,,66.56,10.30,0.43,,,,,,,,,4.31,29.41,2.56,,37.44,,,,14.22,,,,,12.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pensacola,Florida,,15.78,50.08,467.37,11.53,,20.27,,,,,13.74,1.08,130.48,,,27.88,204.64,172.18,33.45,,,,,,6.08,37.96,,,,266.88,19.99,13.95,146.20,,220.71,1.49,23.39,,247.76,,148.79,,12.25,,,,,,,,,,,,,,,,,,,,,,42.42,,,51.80,,,408.70,,,,,,,,,,,,,,,,,,,,,,,851.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm-Springs,California,,270.23,104.91,148.48,5.17,,27.99,28.03,9.93,,,242.63,18.76,,,,668.84,217.14,19.95,54.04,14.63,,,,,4.06,11.23,,,,696.96,,7.36,,,20.98,,,,48.64,,294.01,31.33,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,369.37,,546.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ames,Iowa,,94.86,22.97,43.57,6.32,,51.72,16.75,,,,165.37,,14.69,,,36.78,1.00,,24.57,,,,,,10.40,,,101.81,,431.69,,1.33,45.34,2.05,2.76,8.53,,,,,115.94,,5.74,,,,194.26,159.95,,,,,,,,,,,,,,1016.60,,,286.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2942.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poplar-Bluff,Missouri,,19.66,,,,,,16.59,8.74,,,,,,714.18,105.39,20.49,136.98,,192.71,,,,,54.61,15.94,,60.64,,,,,,,,,,,,,,,,,,,,,309.26,,,,,,,,,14.23,,,,,2314.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling-Green,Kentucky,192.49,1.08,28.29,,,,10.14,,1.79,,,,17.18,0.74,,193.88,8.01,12.16,,18.56,,,57.38,,,0.79,10.06,,0.86,,,,,,56.66,4.81,,1.69,,25.26,,,3.08,,,,,,187.09,,133.73,,,,,,3.46,,,,,,1264.97,,,,,,,,14.56,,,,,,,,60.11,,,,,,,,,,,,,619.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocola,Oklahoma,78.86,24.51,,,,62.36,25.24,,0.49,,,,,5.82,194.13,,,48.29,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendleton,Oregon,253.50,0.24,22.69,,3.93,,31.63,12.09,11.08,269.46,,,76.42,26.98,,,71.18,150.46,10.72,3.34,,,,,,20.49,7.33,,,,369.94,,32.34,,5.12,49.20,,3.81,,111.68,,,28.11,,21.86,,,,,,,,,,,,,,,,,,,,,,,,,57.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogers,Arkansas,178.29,36.80,21.16,,,,,2.33,12.90,168.55,,,12.15,12.93,546.40,92.36,12.80,53.28,4.76,16.19,,,,169.47,41.26,13.92,6.07,,,,,,0.22,3.52,0.15,,,0.26,,,,,9.33,,79.16,1.05,,85.34,,,,,,,,,,,,,,,,,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand-Rapids,Michigan,276.88,24.30,3.97,,10.56,,51.05,1.93,18.58,228.10,,,106.49,,,286.85,,,11.45,26.03,,,150.84,,,11.55,,107.94,,,,,13.60,30.51,6.48,5.41,,13.75,,,,,,103.80,,,,,,,,,,,,,,,,,,62.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weatherford,Oklahoma,,1.91,10.32,,,,13.56,0.50,3.41,160.44,,111.09,1.91,13.98,715.07,,20.22,45.27,4.91,,,,,,,16.48,,,,,,,,,7.91,,,1.83,,21.72,,,28.63,,14.98,,,,3.33,,,,,,,,,,,,,21.22,,,,,,147.04,,,,,,,2.08,,,,,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gruver,Texas,,,,,,,,,0.88,,,84.58,,,,,,24.67,,,,,,,,,,,,,153.30,,,,,,,,,,,123.35,5.29,,,,,,206.17,,,,,,,,,,,,,,,,,,,167.40,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,274.01,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-London,Connecticut,221.05,120.71,110.69,,30.83,,13.33,,,253.59,,1.86,14.37,231.14,,,,,,19.25,,,,,,17.20,,,,,2074.99,,0.48,,,,,10.43,,,,,,52.80,,,,,1.86,,,,,,,,,,0.67,13.18,115.46,,,1727.49,,23.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.63,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladstone,Missouri,222.23,0.44,85.82,,,29.98,12.44,28.08,9.35,157.34,,,0.76,0.18,346.79,143.26,0.07,121.98,21.68,0.62,,,,,,,2.40,,,,,,,1.09,,,,2.51,,,,,,,,,,127.98,,,,,,4.55,,,1.24,,,,,,,,,,,,,,,,,,,,,,,41.33,,,,,,,,,,,36.34,,,,,,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,Louisiana,240.44,,,,,13.66,,,,,,,,,538.25,136.61,,251.37,71.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.35,,,,,,,,10.93,,,,,,,,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster,California,,59.02,21.91,14.95,7.40,,,7.71,1.83,,,,,0.15,,,13.10,18.98,5.37,12.27,3.48,35.11,,,25.37,6.83,1.29,,,,239.57,,28.34,,,3.64,,,,,,193.54,,,,,,18.92,0.74,,,,,,,,,,,,,,246.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willmar,Minnesota,,23.55,28.39,,,,55.87,,,,,484.37,56.27,,,,11.48,13.14,,27.88,,,,,,7.45,,227.24,,,241.23,,0.60,,,135.74,74.29,16.36,,,,,5.94,,,27.83,,,174.29,,,,,,,,,,,,,,1883.89,,,107.96,,,,,,,,,,,,,,,,,,,,,,22.80,,,,,,,,,,,,,,,5932.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,Kentucky,,21.41,42.61,159.79,70.51,,5.00,16.61,38.31,702.40,,,1.56,3.41,,642.12,112.72,0.19,0.37,36.16,,406.74,,,,0.46,31.69,,11.45,1.08,,,,3.81,,34.97,60.12,42.49,,266.39,11.22,,60.31,48.02,,1.15,,,,,158.34,,1.43,,,,9.48,,,,,,,,,355.60,,,,,,,,,,,,,237.21,,,,,,,,,,,,,1252.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort,South-Carolina,,47.26,,5.88,,,,14.22,14.22,,,,,20.77,,,247.92,,279.62,29.47,,112.46,,,166.34,19.05,,,,,469.63,,,62.00,,79.86,,9.82,,,,,,18.68,,,,60.14,,,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont,New-Hampshire,232.91,2.24,46.01,,,,17.71,5.49,,151.02,,,54.36,7.11,,,,,0.23,21.73,,,,,,0.93,8.04,,0.46,,982.76,,,7.35,4.64,,,1.08,,59.77,23.04,,1.78,4.87,,0.54,,,53.36,,,,,,,,,,,,,,,,,24.20,,,,,,,,,,,,,,64.49,,,,,,,,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert-Lee,Texas,160.31,,,,,,,,,354.96,336.83,,,,,,,45.80,,,,,,,,,,,,,120.23,,,114.50,,,,,,,,109.73,,,,,,,,,,,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma-City,Oklahoma,150.12,8.98,58.43,,,,36.22,10.39,23.53,252.18,,,8.61,1.51,771.97,175.12,23.39,8.46,19.17,19.74,,,27.55,,,32.31,,,2.11,,,,,85.45,27.10,40.42,17.12,5.00,,63.50,,,9.06,12.80,,,,,,,,,,,,,,,,,,48.40,,,,,,,,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.09,,,,,,,,,,,,,
