id,lat,lon,category,name,created_on,geolocation_degrees,promoted,Street_Num,Street_Name,City,County,State,Country,Zip
10835,19.06236126,-98.30609322,default,Alabío! ,1505448921,"98°18'21.94""W, 19°3'44.5""N",,,Unnamed Road,Cholula,,Puebla,Mexico,72760
10836,19.43330872,-99.14099514,default,chamocell,1505450455,"99°8'27.58""W, 19°25'59.91""N",,,,Ciudad de México,,Ciudad de México,Mexico,6000
10869,19.42814865,-99.20474052,default,EFA Education,1505767045,"99°12'17.07""W, 19°25'41.34""N",,140,Privada del Castillo,Ciudad de México,,Ciudad de México,Mexico,11000
10871,35.42850916,-81.50155485,shopping,Real Talk,1505785869,"81°30'5.6""W, 35°25'42.63""N",,4801,North Main Street,Lawndale,Cleveland County,North Carolina,United States,28090
10872,35.27677109,-81.53674006,food,Sushi Dojo,1505786674,"81°32'12.26""W, 35°16'36.38""N",,302,North Carolina 226,Shelby,Cleveland County,North Carolina,United States,28152
10888,33.49323568,-111.9255888,shopping,Hermetise,1505866692,"111°55'32.12""W, 33°29'35.65""N",,7212,East Main Street,Scottsdale,Maricopa County,Arizona,United States,85251
10889,33.49349963,-111.9246072,shopping,Tresor Rare,1505866845,"111°55'28.59""W, 33°29'36.6""N",,3944,North Brown Avenue,Scottsdale,Maricopa County,Arizona,United States,85251
10890,33.49360252,-111.9244784,shopping,Nature Elements 2,1505867427,"111°55'28.12""W, 33°29'36.97""N",,3949,North Brown Avenue,Scottsdale,Maricopa County,Arizona,United States,85251
10891,34.86909772,-111.7615128,default,Nature Elements,1505867765,"111°45'41.45""W, 34°52'8.75""N",,207,North State Route 89A,Sedona,Coconino County,Arizona,United States,86336
10896,29.91672204,-81.30865574,shopping,Freedom Boat Club,1505932471,"81°18'31.16""W, 29°55'0.2""N",,3076,Harbor Drive,St. Augustine,St. Johns County,Florida,United States,32084
10897,30.13410451,-81.63113236,shopping,Freedom Boat Club,1505932574,"81°37'52.08""W, 30°8'2.78""N",,12807,Florida 13,Jacksonville,Duval County,Florida,United States,32223
10900,36.7624169,-119.7812748,default,Root Access Hackerspace,1505963909,"119°46'52.59""W, 36°45'44.7""N",,,,Fresno,Fresno County,California,United States,93703
10901,44.80784293,-93.38391781,default,CTI Consulting Inc,1505978020,"93°23'2.1""W, 44°48'28.23""N",,10820,Bloomington Ferry Road,Bloomington,Hennepin County,Minnesota,United States,55438
15702,21.94824017,-102.3418576,default,CERRAJERIA  24 horas Grupo Universo,1538499676,"102°20'30.69""W, 21°56'53.66""N",,131,Monte Alban,Jesús María,,Aguascalientes,Mexico,20925
10924,37.7942537,-122.408638,food,CAFE,1505990423,"122°24'31.1""W, 37°47'39.31""N",,950,Clay Street,San Francisco,San Francisco County,California,United States,94108
10925,37.3434132,-121.8912506,default,CAFE,1505990456,"121°53'28.5""W, 37°20'36.29""N",,352,North 4th Street,San Jose,Santa Clara County,California,United States,95112
10926,44.56628773,-123.2658291,default,Pizza D,1505990502,"123°15'56.98""W, 44°33'58.64""N",,198,Northwest 8th Street,Corvallis,Benton County,Oregon,United States,97330
10929,18.54634811,-72.33776093,nightlife,Club Pub,1505990714,"72°20'15.94""W, 18°32'46.85""N",,111,Rue Pavee,Port-au-Prince,,Ouest,Haiti,
10930,23.13546654,-82.36810684,attraction,Hips,1505990779,"82°22'5.18""W, 23°8'7.68""N",,555,San Rafael,La Habana,Centro Habana,La Habana,Cuba,
10941,46.85898787,-96.85170829,default,Treasure Island Coins,1506036540,"96°51'6.15""W, 46°51'32.36""N",,1429,42nd Street South,Fargo,Cass County,North Dakota,United States,58103
10942,37.96434852,-121.2795031,shopping,Congrevape,1506066041,"121°16'46.21""W, 37°57'51.65""N",,925,North Union Street,Stockton,San Joaquin County,California,United States,95205
10948,37.91763404,-122.065959,default,Black Sea Tattoo,1506126631,"122°3'57.45""W, 37°55'3.48""N",,2501,North Main Street,Walnut Creek,Contra Costa County,California,United States,94597
10949,40.75343405,-74.02627587,shopping,Silicon Wives,1506128310,"74°1'34.59""W, 40°45'12.36""N",,1400,Washington Street,Hoboken,Hudson County,New Jersey,United States,7030
10956,42.94585263,-71.47399306,default,Law Office of Jason M Sullivan,1506200162,"71°28'26.38""W, 42°56'45.07""N",,3,Executive Park Drive,Bedford,Hillsborough County,New Hampshire,United States,3110
